Company,GICS Sector,Weight (%)
NVIDIA Corp,Information Technology,7.34
Alphabet Inc,Communication Services,7.09
Apple Inc,Information Technology,6.26
Microsoft Corp,Information Technology,4.69
Amazon.com Inc,Consumer Discretionary,4.39
Broadcom Inc,Information Technology,3.04
Meta Platforms Inc,Communication Services,2.35
Tesla Inc,Consumer Discretionary,2.23
Walmart Inc,Consumer Staples,1.6
Berkshire Hathaway Inc,Financials,1.55
Eli Lilly & Co,Health Care,1.31
JPMorgan Chase & Co,Financials,1.27
Exxon Mobil Corp,Energy,0.97
Visa Inc,Financials,0.95
Micron Technology Inc,Information Technology,0.93
Advanced Micro Devices Inc,Information Technology,0.89
Johnson & Johnson,Health Care,0.83
Intel Corp,Information Technology,0.76
Oracle Corp,Information Technology,0.75
Costco Wholesale Corp,Consumer Staples,0.68
Mastercard Inc,Financials,0.67
Caterpillar Inc,Industrials,0.63
Netflix Inc,Communication Services,0.59
Bank of America Corp,Financials,0.58
Chevron Corp,Energy,0.58
AbbVie Inc,Health Care,0.56
Cisco Systems Inc,Information Technology,0.55
Palantir Technologies Inc,Information Technology,0.53
Procter & Gamble Co/The,Consumer Staples,0.52
Coca-Cola Co/The,Consumer Staples,0.51
UnitedHealth Group Inc,Health Care,0.51
Home Depot Inc/The,Consumer Discretionary,0.49
Lam Research Corp,Information Technology,0.49
Applied Materials Inc,Information Technology,0.47
Morgan Stanley,Financials,0.46
General Electric Co,Industrials,0.46
GE Vernova Inc,Industrials,0.43
Merck & Co Inc,Health Care,0.42
Goldman Sachs Group Inc/The,Financials,0.41
Philip Morris International Inc,Consumer Staples,0.39
Texas Instruments Inc,Information Technology,0.39
Wells Fargo & Co,Financials,0.38
RTX Corp,Industrials,0.36
Linde PLC,Materials,0.36
KLA Corp,Information Technology,0.34
PepsiCo Inc,Consumer Staples,0.33
Arista Networks Inc,Information Technology,0.33
American Express Co,Financials,0.33
International Business Machines Corp,Information Technology,0.33
Citigroup Inc,Financials,0.33
T-Mobile US Inc,Communication Services,0.32
McDonald's Corp,Consumer Discretionary,0.31
Verizon Communications Inc,Communication Services,0.31
NextEra Energy Inc,Utilities,0.31
Analog Devices Inc,Information Technology,0.3
QUALCOMM Inc,Information Technology,0.28
Walt Disney Co/The,Communication Services,0.28
AT&T Inc,Communication Services,0.28
Amphenol Corp,Information Technology,0.27
Boeing Co/The,Industrials,0.27
Thermo Fisher Scientific Inc,Health Care,0.27
Sandisk Corp/DE,Information Technology,0.27
Amgen Inc,Health Care,0.27
TJX Cos Inc/The,Consumer Discretionary,0.26
Blackrock Inc,Financials,0.25
Seagate Technology Holdings PLC,Information Technology,0.25
Gilead Sciences Inc,Health Care,0.25
Eaton Corp PLC,Industrials,0.25
Intuitive Surgical Inc,Health Care,0.25
Blackstone Inc,Financials,0.24
Deere & Co,Industrials,0.24
AppLovin Corp,Information Technology,0.24
Charles Schwab Corp/The,Financials,0.24
Abbott Laboratories,Health Care,0.24
Union Pacific Corp,Industrials,0.24
ConocoPhillips,Energy,0.23
Pfizer Inc,Health Care,0.23
Uber Technologies Inc,Industrials,0.23
Welltower Inc,Real Estate,0.23
Salesforce Inc,Information Technology,0.23
Palo Alto Networks Inc,Information Technology,0.22
Western Digital Corp,Information Technology,0.22
Dell Technologies Inc,Information Technology,0.21
Corning Inc,Information Technology,0.21
Honeywell International Inc,Industrials,0.21
Prologis Inc,Real Estate,0.2
Lowe's Cos Inc,Consumer Discretionary,0.2
Booking Holdings Inc,Consumer Discretionary,0.2
S&P Global Inc,Financials,0.19
Chubb Ltd,Financials,0.19
Altria Group Inc,Consumer Staples,0.19
Capital One Financial Corp,Financials,0.19
Vertiv Holdings,Industrials,0.19
Danaher Corp,Health Care,0.19
Crowdstrike Holdings Inc,Information Technology,0.18
Progressive Corp/The,Financials,0.18
Bristol-Myers Squibb Co,Health Care,0.18
Lockheed Martin Corp,Industrials,0.18
Newmont Corp,Materials,0.18
Starbucks Corp,Consumer Discretionary,0.18
Stryker Corp,Health Care,0.17
Intuit Inc,Information Technology,0.17
Constellation Energy Corp,Utilities,0.17
Parker-Hannifin Corp,Industrials,0.17
Accenture PLC,Information Technology,0.17
Southern Co/The,Utilities,0.17
Quanta Services Inc,Industrials,0.17
Equinix Inc,Real Estate,0.16
CVS Health Corp,Health Care,0.16
CME Group Inc,Financials,0.16
Vertex Pharmaceuticals Inc,Health Care,0.16
Medtronic PLC,Health Care,0.16
Trane Technologies PLC,Industrials,0.16
HCA Healthcare Inc,Health Care,0.15
McKesson Corp,Health Care,0.15
Howmet Aerospace Inc,Industrials,0.15
Comcast Corp,Communication Services,0.15
Adobe Inc,Information Technology,0.15
Duke Energy Corp,Utilities,0.15
Johnson Controls International plc,Industrials,0.14
Waste Management Inc,Industrials,0.14
KKR & Co Inc,Financials,0.14
Cummins Inc,Industrials,0.14
Williams Cos Inc/The,Energy,0.14
ServiceNow Inc,Information Technology,0.14
Marriott International Inc/MD,Consumer Discretionary,0.14
Bank of New York Mellon Corp/The,Financials,0.14
Cadence Design Systems Inc,Information Technology,0.14
PNC Financial Services Group Inc/The,Financials,0.14
FedEx Corp,Industrials,0.14
Synopsys Inc,Information Technology,0.14
United Parcel Service Inc,Industrials,0.14
General Dynamics Corp,Industrials,0.14
US Bancorp,Financials,0.13
American Tower Corp,Real Estate,0.13
