Date,XLK_Volume,XLF_Volume,XLE_Volume,XLV_Volume,SPY_Volume
2010-01-04,16898800,92942347,33856800,5580900,118944600
2010-01-05,39976400,96770018,34736200,5428600,111579900
2010-01-06,20048200,75492798,48703800,4883600,116074400
2010-01-07,14584800,117869112,34899000,6114600,131091100
2010-01-08,23772400,111866140,26688600,4284800,126402800
2010-01-11,30477800,72747299,38919800,4177700,106375700
2010-01-12,19485600,137613736,43021200,5791400,163333500
2010-01-13,20107400,100839458,44275000,8056100,161822000
2010-01-14,15013200,70844542,31090800,7801400,115718800
2010-01-15,27066600,118059301,38110400,9691800,212283100
2010-01-19,14965600,100437782,29226200,17749900,139172700
2010-01-20,29398000,99359426,31283400,16706200,216490200
2010-01-21,25606800,310007531,50413200,15057200,344859600
2010-01-22,67402400,260932239,46057200,13221000,345942400
2010-01-25,66680200,179396215,31802400,7485600,186937500
2010-01-26,32250600,151799780,43030600,9292600,211168800
2010-01-27,35370000,254674696,53233400,13238800,271863600
2010-01-28,46278600,275452007,68861400,12890200,316104000
2010-01-29,53794800,222839929,65605400,11902000,310677600
2010-02-01,38415000,155187738,43626600,6463000,187865000
2010-02-02,27391200,135155306,44501600,9894100,216327900
2010-02-03,29566400,131388692,39498600,5967400,172730700
2010-02-04,32978200,266891017,74346400,10027700,356715700
2010-02-05,46507400,315216015,92756800,14325900,493585800
2010-02-08,45887600,132199183,48230200,6971500,224166900
2010-02-09,31774800,190172389,67116200,8632900,337820500
2010-02-10,20846800,155220729,48364600,7047300,240511500
2010-02-11,30349600,92212240,45889000,4335600,223591600
2010-02-12,30286000,125390768,39667800,6966800,304622100
2010-02-16,20466600,134800901,39669800,5786100,159317500
2010-02-17,17806600,81067751,36275600,10161600,168845100
2010-02-18,11527600,73617370,33145400,5326600,193708600
2010-02-19,13535600,72633555,32996600,4369300,222684900
2010-02-22,14074600,86110666,34699400,6989700,132346900
2010-02-23,20971400,144519031,42202400,4313800,207497000
2010-02-24,15078000,87297473,35260600,4352100,176350700
2010-02-25,23315000,130407585,41896200,5437900,259634700
2010-02-26,19404000,129857821,34493600,8794500,173589300
2010-03-01,12843600,65465319,27932000,6249900,147709700
2010-03-02,14023800,71151554,33492600,5321100,160992400
2010-03-03,16663600,69710915,33534600,5066800,150785000
2010-03-04,7247600,65092695,32662000,10135600,135770400
2010-03-05,14095800,99635663,30670400,5832200,176118800
2010-03-08,11718800,66161942,25224000,4370700,114631200
2010-03-09,24003800,110608058,33407600,4838900,154556700
2010-03-10,33817000,123834045,34744400,4063400,186088800
2010-03-11,10907400,75285990,26066600,6033900,160791100
2010-03-12,14918400,125183468,27319600,4899700,162074800
2010-03-15,17564000,86475904,36747200,5500100,146816800
