Rank,Symbol,Security,Company,GICS Sector,Weight (%)
1,NVDA,Nvidia,NVIDIA Corp,Information Technology,7.34
2,AAPL,Apple Inc.,Apple Inc,Information Technology,6.26
3,MSFT,Microsoft,Microsoft Corp,Information Technology,4.69
4,AMZN,Amazon,Amazon.com Inc,Consumer Discretionary,4.39
5,GOOGL,Alphabet Inc. (Class A),Alphabet Inc,Communication Services,3.67
6,GOOG,Alphabet Inc. (Class C),Alphabet Inc,Communication Services,3.42
7,AVGO,Broadcom,Broadcom Inc,Information Technology,3.04
8,META,Meta Platforms,Meta Platforms Inc,Communication Services,2.35
9,TSLA,"Tesla, Inc.",Tesla Inc,Consumer Discretionary,2.23
10,WMT,Walmart,Walmart Inc,Consumer Staples,1.6
11,BRK.B,Berkshire Hathaway,Berkshire Hathaway Inc,Financials,1.55
12,LLY,Lilly (Eli),Eli Lilly & Co,Health Care,1.31
13,JPM,JPMorgan Chase,JPMorgan Chase & Co,Financials,1.27
14,XOM,ExxonMobil,Exxon Mobil Corp,Energy,0.97
15,V,Visa Inc.,Visa Inc,Financials,0.95
16,MU,Micron Technology,Micron Technology Inc,Information Technology,0.93
17,AMD,Advanced Micro Devices,Advanced Micro Devices Inc,Information Technology,0.89
18,JNJ,Johnson & Johnson,Johnson & Johnson,Health Care,0.83
19,INTC,Intel,Intel Corp,Information Technology,0.76
20,ORCL,Oracle Corporation,Oracle Corp,Information Technology,0.75
21,COST,Costco,Costco Wholesale Corp,Consumer Staples,0.68
22,MA,Mastercard,Mastercard Inc,Financials,0.67
23,CAT,Caterpillar Inc.,Caterpillar Inc,Industrials,0.63
24,NFLX,Netflix,Netflix Inc,Communication Services,0.59
25,CVX,Chevron Corporation,Chevron Corp,Energy,0.58
26,BAC,Bank of America,Bank of America Corp,Financials,0.58
27,ABBV,AbbVie,AbbVie Inc,Health Care,0.56
28,CSCO,Cisco,Cisco Systems Inc,Information Technology,0.55
29,PLTR,Palantir Technologies,Palantir Technologies Inc,Information Technology,0.53
30,PG,Procter & Gamble,Procter & Gamble Co/The,Consumer Staples,0.52
31,KO,Coca-Cola Company (The),Coca-Cola Co/The,Consumer Staples,0.51
32,UNH,UnitedHealth Group,UnitedHealth Group Inc,Health Care,0.51
